timestamp,open,high,low,close,volume
2024-11-25,0.15914,0.2328,0.053473,0.18135,273886.83
2024-11-26,0.18135,1.5,0.13794,0.97855,566910.37
2024-11-27,0.97855,2.4187,0.97272,1.0926,240105.95
2024-11-28,1.0917,1.8394,0.59697,1.2,177561.23
2024-11-29,1.1998,4.9048,1.0,4.4762,420562.27
2024-11-30,4.4629,6.217,2.51,5.0438,302514.73
2024-12-01,5.0438,6.3315,3.4,3.9964,174194.22
2024-12-02,3.9964,4.0323,1.3149,1.9043,184639.44
2024-12-03,1.8987,3.9372,1.5,3.4738,126284.04
2024-12-04,3.4635,4.3469,2.2,2.3239,82158.19
2024-12-05,2.317,4.0,2.1382,3.2631,96076.22
2024-12-06,3.2534,3.9429,2.25,3.3618,78588.54
2024-12-07,3.3618,5.2193,3.0108,3.5897,60394.38
2024-12-08,3.579,3.622,2.69,2.7209,33321.85
2024-12-09,2.7128,2.9278,1.3827,2.1256,75739.07
2024-12-10,2.1193,2.49,1.4074,1.6273,61201.07
2024-12-11,1.6225,2.0329,1.3464,1.8107,39337.67
2024-12-12,1.8107,2.2424,1.3584,1.8323,111533.95
2024-12-13,1.8323,4.2043,1.5704,3.8905,214321.74
2024-12-14,3.8789,4.94,2.6254,3.8215,163010.32
2024-12-15,3.8215,5.2121,2.9487,4.1051,105330.59
2024-12-16,4.1051,5.3889,3.1018,3.6983,144457.81
2024-12-17,3.6983,4.9395,2.55,2.55,167380.23
2024-12-18,2.55,3.1957,2.55,3.139,7886.0
