timestamp,open,high,low,close,volume
2024-12-06,1.1763,7.8584,1.1763,6.2244,725641.71
2024-12-07,6.2244,6.4687,2.8976,4.1101,434649.4
2024-12-08,4.1101,4.1595,2.01,2.6285,344131.9
2024-12-09,2.6285,2.7621,1.6656,1.7236,159975.45
2024-12-10,1.7185,2.0054,1.249,1.449,70003.39
2024-12-11,1.4427,2.9812,1.3923,2.44,96908.5
2024-12-12,2.4328,2.5287,1.8509,2.2252,67930.25
2024-12-13,2.2252,5.5,1.8,4.324,240219.22
2024-12-14,4.3111,5.7344,3.0662,3.6045,141202.74
2024-12-15,3.6045,4.4285,3.2,3.6806,80136.57
2024-12-16,3.6806,5.725,3.3959,5.1261,144170.26
2024-12-17,5.1338,5.1338,3.1333,3.2281,144834.37
2024-12-18,3.2185,3.5406,3.2185,3.4162,11224.25
