timestamp,open,high,low,close,volume
2024-11-29,2.0,6.61,2.0,6.252,141394901.36
2024-11-30,6.2302,8.94,6.15,8.4985,47362819.1
2024-12-01,8.4961,9.8687,8.1,9.4686,34810651.74
2024-12-02,9.4676,9.654,7.1781,8.4277,33227675.87
2024-12-03,8.4208,11.8,7.7374,11.082,24041805.22
2024-12-04,11.076,13.22,10.707,11.403,24894059.84
2024-12-05,11.395,13.95,10.405,12.71,21226209.3
2024-12-06,12.685,14.39,12.29,13.829,13256595.84
2024-12-07,13.829,15.0,13.5,14.117,10773027.16
2024-12-08,14.12,14.737,13.434,14.02,8158971.07
2024-12-09,14.016,14.454,11.939,13.541,17416535.19
2024-12-10,13.538,14.519,12.57,13.562,13221912.74
2024-12-11,13.558,16.55,13.0,16.115,11291050.8
2024-12-12,16.106,18.773,15.59,18.041,13447099.26
2024-12-13,18.041,19.571,16.941,19.48,9398946.21
2024-12-14,19.482,24.369,19.0,24.151,15720645.07
2024-12-15,24.151,25.033,21.141,23.89,15522852.24
2024-12-16,23.879,28.5,23.01,27.243,12874364.4
2024-12-17,27.23,29.0,26.777,28.194,4648798.4
