timestamp,open,high,low,close,volume
2024-05-24,0.06,0.60046,0.06,0.47712,1148658.0
2024-05-25,0.47712,0.97744,0.47428,0.96582,194769.0
2024-05-26,0.96582,3.1,0.96582,1.1801,196595.0
2024-05-27,1.1813,1.2048,0.86985,0.87768,113746.0
2024-05-28,0.87768,0.87768,0.77875,0.79048,55818.0
2024-05-29,0.78812,2.3342,0.74016,1.194,432186.0
2024-05-30,1.1741,1.6,1.1433,1.1756,85898.0
2024-05-31,1.1804,1.4,1.062,1.0906,219923.0
2024-06-01,1.0906,1.0938,1.0095,1.0746,322564.0
2024-06-02,1.0746,1.0778,0.94017,0.94971,1043098.0
2024-06-03,0.94971,1.3161,0.86208,1.2083,1694082.0
2024-06-04,1.2083,1.7848,1.1035,1.7627,790983.0
2024-06-05,1.7627,2.1257,1.5549,1.5588,66179.0
2024-06-06,1.5636,2.5827,1.3023,2.4264,152696.0
2024-06-07,2.4191,2.99,2.0362,2.5956,67126.0
2024-06-08,2.5956,4.0497,2.5956,3.541,82269.0
2024-06-09,3.5304,3.927,2.6175,2.7068,76251.0
2024-06-10,2.7226,3.2109,2.5,2.6029,45973.0
2024-06-11,2.6068,3.0278,2.0696,2.4408,75360.0
2024-06-12,2.4408,2.8712,2.3119,2.5345,26346.0
2024-06-13,2.5372,2.5459,2.1843,2.4971,26236.0
2024-06-14,2.4971,2.8313,2.38,2.8149,69426.0
2024-06-15,2.8179,3.193,2.5311,2.9084,110144.0
2024-06-16,2.9124,3.3,2.78,2.8604,56671.0
2024-06-17,2.8633,3.0831,2.3735,2.5576,68425.0
2024-06-18,2.5595,2.7929,2.1585,2.599,101586.0
2024-06-19,2.599,3.0,2.5681,2.9891,34620.0
2024-06-20,2.9865,2.9865,2.3731,2.3731,29749.0
2024-06-21,2.3731,2.8096,2.2279,2.6701,81351.0
2024-06-22,2.6752,2.9,2.5451,2.7566,96124.0
2024-06-23,2.7538,3.9636,2.75,3.3597,243259.0
2024-06-24,3.3597,3.3597,2.8526,3.2055,87890.0
2024-06-25,3.1992,3.6791,3.1421,3.2089,107967.0
2024-06-26,3.2121,3.2151,2.787,2.852,97873.0
2024-06-27,2.852,3.132,2.7997,3.066,59035.0
2024-06-28,3.0585,3.4566,3.001,3.1266,92437.0
2024-06-29,3.1266,3.478,3.1015,3.3197,63259.0
2024-06-30,3.3265,3.6083,3.1108,3.3904,113435.0
2024-07-01,3.3904,3.99,3.3199,3.8028,122480.0
2024-07-02,3.7877,3.94,3.65,3.848,124459.0
2024-07-03,3.8448,4.4795,3.44,4.0834,338776.0
2024-07-04,4.0761,4.2044,3.1125,3.4092,199060.0
2024-07-05,3.4112,3.8,2.75,3.7373,133553.0
2024-07-06,3.7394,4.1111,3.3801,3.9029,120883.0
2024-07-07,3.9029,4.249,3.69,3.7019,129003.0
2024-07-08,3.6981,4.5335,3.18,4.4948,447011.0
2024-07-09,4.4946,5.4424,4.3213,5.25,929807.0
2024-07-10,5.2503,6.5683,4.94,5.6309,1253844.0
2024-07-11,5.6209,6.6,5.3738,6.2781,558635.0
2024-07-12,6.2797,6.7755,5.8968,6.7755,277477.0
2024-07-13,6.774,8.2229,6.7325,7.2944,152388.0
2024-07-14,7.2944,7.6923,5.6759,7.0372,136989.0
2024-07-15,7.0372,7.6754,6.2985,6.7074,115242.0
2024-07-16,6.7074,7.125,5.577,7.035,145992.0
2024-07-17,7.035,7.28,6.2475,6.7647,91001.0
2024-07-18,6.7681,7.4713,6.6077,7.0158,78727.0
2024-07-19,6.9947,7.0791,6.2,6.6078,90761.0
2024-07-20,6.6077,7.2827,5.7399,6.9306,128488.0
2024-07-21,6.9346,6.9764,6.2078,6.3587,76818.0
2024-07-22,6.3605,6.5,6.0,6.3153,106690.0
