timestamp,open,high,low,close,volume
2024-11-01,0.8161,1.797,0.8161,1.0423,246796.33
2024-11-02,1.0392,1.2628,0.44828,0.67602,326102.32
2024-11-03,0.67602,1.2044,0.41526,1.0959,143833.97
2024-11-04,1.0959,1.1659,0.69445,0.75507,59259.18
2024-11-05,0.75507,0.93718,0.6522,0.93718,24828.85
2024-11-06,0.93645,1.2224,0.83087,1.1728,43954.46
2024-11-07,1.1693,1.1728,0.8742,1.0735,45912.96
2024-11-08,1.0703,1.9818,0.99119,1.4949,88305.04
2024-11-09,1.4949,1.6932,1.4047,1.4131,26247.51
2024-11-10,1.4131,1.6486,1.2517,1.293,60763.85
2024-11-11,1.293,1.4173,1.0,1.2517,71179.73
2024-11-12,1.248,1.5,0.8664,1.1155,51963.24
2024-11-13,1.1155,1.2859,0.86123,1.208,51653.94
2024-11-14,1.208,1.3677,1.1353,1.1353,46674.69
2024-11-15,1.1353,1.1455,1.0091,1.0959,19570.58
2024-11-16,1.0959,1.4685,1.0799,1.4599,20519.45
2024-11-17,1.4599,1.85,1.3397,1.85,82240.81
2024-11-18,1.8454,1.87,1.5,1.6051,30196.45
2024-11-19,1.6051,1.7236,1.4131,1.4131,13824.59
2024-11-20,1.4131,1.5172,1.3477,1.4299,12263.26
2024-11-21,1.4299,1.4685,1.1353,1.38,25620.02
2024-11-22,1.38,1.3882,1.2044,1.2152,8761.16
2024-11-23,1.2152,1.2778,1.1198,1.1625,11740.49
2024-11-24,1.1591,1.1973,1.0991,1.0991,7713.73
2024-11-25,1.0991,1.55,1.0172,1.4047,32347.08
2024-11-26,1.4005,1.4299,1.1868,1.2044,19443.05
2024-11-27,1.2044,1.4089,1.2044,1.4047,8313.71
2024-11-28,1.4047,1.4642,1.0454,1.0454,37269.32
2024-11-29,1.0454,3.4162,1.0454,3.2962,153276.41
2024-11-30,3.2864,4.083,2.8064,3.7026,148073.21
2024-12-01,3.6971,5.5152,3.2766,3.2766,154505.38
2024-12-02,3.2766,3.9538,2.1194,2.1729,100022.21
2024-12-03,2.1665,3.6369,1.9936,3.3959,90099.1
2024-12-04,3.3959,4.6,3.087,3.2668,88309.07
2024-12-05,3.2668,4.5355,2.4184,3.9069,112346.7
2024-12-06,3.9069,4.6,3.7921,4.2727,51428.07
2024-12-07,4.2727,7.2707,3.6806,6.0593,159539.07
2024-12-08,6.0412,10.0,6.0412,10.0,347750.01
2024-12-09,9.982,11.433,6.6028,8.2929,248702.26
2024-12-10,8.2681,10.71,7.77,8.8832,147092.77
2024-12-11,8.8567,11.45,7.5589,10.011,114890.87
2024-12-12,9.982,12.976,9.7169,12.093,129513.79
2024-12-13,12.075,18.801,10.8,16.162,221921.76
2024-12-14,16.162,21.236,15.877,17.823,200039.9
2024-12-15,17.823,19.951,15.0,16.354,128688.12
2024-12-16,16.306,23.071,15.95,20.675,138186.93
2024-12-17,20.614,23.012,14.787,19.082,187088.62
2024-12-18,19.025,20.13,17.0,17.0,10356.62
