Token symbol,Listed date,1st day price,1st day volume,ATH date,ATH %,Day to ATH,Price after 1d,Price % change 1d,Price after 30d,Price % change 30d,Price after 60d,Price % change 60d,Volume after 1d,Vol % change 1d,Volume after 30d,Vol % change 30d,Volume after 60d,Vol % change 60d
BUSSY,2024-10-28,0.21048,826687.88,2024-12-16,701.5963511972634,49,0.16752,-0.20410490307867735,0.086674,-0.5882079057392626,,,455869.74,-0.4485588200470533,0.0,-1.0,,
PIGEON,2024-09-16,0.026889,159562.34,2024-12-16,5426.795343820893,91,0.027356,0.01736769682769901,0.026949,0.002231395738034214,0.14062,4.22964781137268,5579.65,-0.9650315356367924,11686.24,-0.9267606629484125,6727.31,-0.9578389863171974
SIX,2024-05-25,0.72486,108365.98,2024-12-16,19.292001214027543,205,0.85698,0.18226967966227958,0.70985,-0.020707446955274045,0.70351,-0.029453963523990767,353125.83,2.258641042142562,158258.5,0.460407592862631,31740.32,-0.7071006971006952
PILL,2024-07-17,0.022886,46829818.72,2024-07-17,0.0,0,0.017529,-0.23407323254391332,0.0023,-0.8995018788779167,0.000195,-0.9914795071222582,24854048.95,-0.4692687345512748,6521.73,-0.999860735527528,24464.38,-0.9994775896924506
LORA,2024-08-23,0.091482,438314.18,2024-12-16,1228.3487462014386,115,0.16117,0.7617673422093967,0.03758,-0.5892088061039329,0.059074,-0.3542554819527338,287114.68,-0.3449568982687259,716.82,-0.9983645977412823,7516.07,-0.9828523229615798
CAPPY,2024-05-28,0.0026773,4745726.0,2024-05-29,5.19926791917229,1,0.0028165,0.0519926791917229,0.00010585,-0.9604639001979607,2.35e-05,-0.9912225002801329,19563300.0,3.1222986746390333,29887962.0,5.297869282803095,17798468.0,2.750420483609884
COZY,2024-08-11,0.081768,1249354.19,2024-12-16,3580.902064377263,127,0.079832,-0.02367674395851671,0.011255,-0.8623544662948831,0.0005,-0.9938851384404657,198950.06,-0.8407576797737397,9966.56,-0.9920226305080067,0.0,-1.0
RICH,2024-08-19,0.31357,544121.12,2024-12-16,380.46688139809294,119,0.20727,-0.3389992665114647,0.030621,-0.902347163312817,0.025816,-0.9176706955384762,236300.22,-0.5657212864665132,1502.28,-0.9972390705951646,23977.82,-0.9559329364021011
SHEEP,2024-12-09,0.46776,842541.72,2024-12-16,200.94492902343083,7,0.25684,-0.45091499914486055,,,,,327246.67,-0.6115958863140926,,,,
FRUDO,2024-11-08,0.83838,367504.39,2024-12-16,152.03368400963762,38,0.51157,-0.38981130275054277,2.0572,1.453779908871872,,,580089.71,0.5784565457843918,87859.48,-0.7609294408700805,,
XULIAN,2024-06-04,0.00059742,315837732.0,2024-12-16,241.87004117706138,195,0.00054282,-0.09139298985638244,0.0009852,0.6490910916942856,0.00066146,0.10719426868869486,169590617.0,-0.4630451025401867,36735989.0,-0.8836871428648684,12662357.0,-0.9599086628446281
TATE,2024-06-12,0.011386,10783121.0,2024-12-16,344.80941507113994,187,0.011727,0.029949060249429005,0.0081024,-0.2883892499560865,0.000705,-0.938081854909538,6919598.0,-0.3582935775273226,20872.0,-0.9980643822878367,0.0,-1.0
ILIENS,2024-06-06,0.00035265,307746690.0,2024-12-16,501.9849709343542,193,0.00029286,-0.16954487452148026,0.001015,1.8782078548135548,0.00035904,0.018119948957890264,70485434.0,-0.7709628201037678,38820886.0,-0.8738544157859179,11504624.0,-0.9626165792392438
BIGBEN,2024-06-28,0.001689,55748264.04,2024-12-16,210.3019538188277,171,0.002205,0.30550621669626987,0.002738,0.6210775606867969,0.000318,-0.8117229129662522,34316931.8,-0.38443048602594665,2337452.98,-0.9580712866983113,356352.67,-0.9936078248150595
COPE,2024-11-25,0.18135,273886.83,2024-11-30,2681.2517231872066,5,0.97855,4.395919492693686,,,,,566910.37,1.0698708660069562,,,,
BAGS,2024-06-11,0.00012111,73578074.0,2024-12-17,1494.9962843695812,189,4.39e-05,-0.6375196102716538,0.00041087,2.392535711336801,1.11e-05,-0.9083477830071836,8439068.0,-0.8853045813621052,3556172.0,-0.9516680471956904,1566911.0,-0.9787041041601605
LQNA,2024-11-01,1.0423,246796.33,2024-12-16,1883.5939748632832,45,0.67602,-0.35141513959512616,3.2766,2.1436246761968722,,,326102.32,0.32134185301702023,154505.38,-0.37395592551963797,,
SPH,2024-10-17,0.035502,288368.42,2024-12-16,13830.764463973861,60,0.045522,0.2822376204157513,0.040746,0.14770998816968062,4.9457,138.3076446397386,63656.92,-0.779251417336198,675.88,-0.9976561927273451,94934.84,-0.6707862809665497
WASH,2024-08-13,0.036364,480081.7,2024-12-16,8508.788912110878,125,0.029558,-0.1871631283687163,0.019782,-0.4560004399956,0.01819,-0.499780002199978,121331.18,-0.7472697251322015,1530.02,-0.9968130007871577,37259.21,-0.9223898557266399
JEET,2024-07-30,0.00201,31196905.0,2024-12-16,474.726368159204,139,0.00113,-0.43781094527363185,0.0001,-0.9502487562189055,1.51e-05,-0.9924875621890548,6110560.0,-0.8041292878251864,168179.0,-0.9946091126667854,0.0,-1.0
SHREK,2024-10-30,0.28665,354258.4,2024-12-17,823.7397523111807,48,0.13393,-0.53277516134659,0.073405,-0.7439211582068725,,,116953.57,-0.6698636644889719,10197.21,-0.9712153332143995,,
